"","name","image","thigh","shank","meta","toe","HH","eff"
"1","Acinonyx_jubatus",5.5,110.41159794086,135.502635577134,62.7352108473077,15.9847254272312,278.007949360089,0.852430692232511
"2","Aepyceros_melampus",5.5,133.007216670359,155.214915847874,143.511497867512,40.5307000989367,406.253990315592,0.868330184964409
"3","Alcelaphus_buselaphus",5.5,52.3979264940824,74.4318225788222,62.963221081545,15.0744983636829,178.913599720771,0.872906874022408
"4","Alces_alces",5.5,57.779070303398,81.8338715441218,73.0253136238285,15.8401435416146,200.206625590757,0.874788952394325
"5","Ammospermophilus_leucurus",5.5,96.3684273761896,132.78447801966,27.8774662284669,45.0585036009177,144.384410024868,0.476078044587198
"6","Antechinus_flavipes",5.5,61.5634334976067,61.2929808352807,15.5029015973302,12.9929057572903,77.1757275191211,0.514278755075726
"7","Antechinus_stuartii",5.5,73.1584247545363,61.2925752779881,25.1566670130426,10.827838714097,94.8170546293058,0.540525795359109
"8","Antidorcas_marsupialis",5.5,129.591810914971,216.618574794192,175.502445425672,34.4792233292118,464.295275107329,0.83644647202443
"9","Antilocapra_americana",5.5,74.3647734854216,90.8118373149814,82.011791373965,15.4878395196914,227.508440907832,0.873867771718151
"10","Antilope_cervicapra",5.5,80.216970468345,100.606165969921,95.4862717864427,18.582029053568,256.08020006829,0.866047483261435
"11","Bettongia_penicillata",5.5,87.3797027466614,108.756855277584,43.4174991109793,17.5704217783162,145.339477114548,0.576656242911511
"12","Bison_bison",6,130.514933950319,173.908469102377,100.182453609318,24.8030205104482,374.710820113224,0.846064441784883
"13","Blarina_brevicauda",6,54.9487352580523,94.7537775316771,34.7489131787492,13.872927828043,111.137096451785,0.564175117354347
"14","Bos_sauveli",2,67.3926394769715,83.5869344402566,57.6357480281531,13.3049142938138,189.15432778947,0.852651988328139
"15","Camelus_dromedarius",5.5,103.771532597679,108.127583439555,83.1043454389753,13.6024730853771,289.38749422455,0.938352640160368
"16","Canis_aureus",5.5,104.029029154469,119.405710820985,66.8186689224469,14.2999962650194,263.880026393276,0.855337846059435
"17","Canis_latrans",5.5,111.086950781864,150.179101209489,71.0851397553802,20.9855786969544,303.792851954025,0.858009678612866
"18","Canis_lupus",5.5,112.485464711781,139.53127960898,65.846590080904,18.4943334668564,281.067370381536,0.824005185855035
"19","Canis_mesomelas",5.5,158.301298319724,177.761614850264,90.0802891237412,21.0939252309685,387.370970917816,0.867395132751048
"20","Capra_aegagrus",5.5,68.9606739685465,74.7825402191113,50.8410769989163,17.4244644339508,183.693940170317,0.865720305974709
"21","Capra_caucasica",5.5,93.8372453536987,111.855777924418,75.9459292823169,20.6991819743271,266.225018635889,0.876197951664737
"22","Capreolus_capreolus",5.5,117.095858024047,129.719816055955,126.295657331575,24.7370331696864,326.744242009349,0.816498558621564
"23","Caracal_caracal",5.5,82.8020443289785,105.312464832236,53.7016845147623,15.5632469950473,207.758289231165,0.807630743701789
"24","Ceratotherium_simum",5.5,108.994956628981,108.996758715478,44.1448169339241,21.9780093194864,231.936903373651,0.82156828883933
"25","Cercartetus_concinnus",5.5,79.3568938891375,81.4508143114209,29.2302389288769,14.479187756002,118.741064612208,0.609832226192552
"26","Cervus_elaphus",5.5,133.14707463403,175.935080854982,142.113246694313,29.954826770177,414.492484567807,0.863812505785715
"27","Chaetodipus_baileyi",4.5,74.1263721159279,66.2355681458863,36.1067411067235,13.8060837630692,111.200321662115,0.551186502783314
"28","Chaetodipus_fallax",4.5,57.9606243904875,55.6484747766146,35.695444881252,13.0457543828308,100.624801062382,0.557828500583639
"29","Connochaetes_gnou",5.5,75.6890007836065,116.278178790239,85.8142337131681,16.4142044358982,253.494574705364,0.87235390263942
"30","Connochaetes_taurinus",6,99.1534571045308,158.337964543657,111.114166372406,26.6627798427668,343.560380387449,0.884817056170849
"31","Crocuta_crocuta",5.5,94.3609829742381,112.609141202609,55.8113744501893,16.4252954617079,237.056879596927,0.847000272271556
"32","Dama_dama",5,145.946953151407,163.416561841737,144.093947883401,34.4896597396098,418.711346125132,0.859224530222064
"33","Damaliscus_lunatus",5.5,60.1732284094527,83.8852935176675,69.1332380353832,14.2016375068919,199.556922812295,0.876405785861265
"34","Dasycercus_byrnei",5.5,100.762147833311,122.231509017796,57.3362730570782,20.4990785228014,160.712384663213,0.516575268268677
"35","Diceros_bicornis",5.5,82.6849261766207,88.7486589933431,46.3834803025347,13.1658367094086,202.837257570794,0.882036233872285
"36","Didelphis_marsupialis",5.5,86.0840297722206,100.495872808522,26.5053244009261,11.8056883519512,143.006884350209,0.632840416420944
"37","Dipodomys_deserti",5.5,54.3334503230632,61.1389251727212,38.0905005621354,15.026142270714,103.427719038411,0.603371414997709
"38","Dipodomys_merriami",4.5,98.1356980358881,143.107544160968,74.0224017657205,17.5971037672279,192.483593114975,0.586923427372965
"39","Dipodomys_microps",5.5,75.6450546126079,101.138429404235,47.2745916920588,18.3099095082285,134.69691076189,0.564353351740575
"40","Dipodomys_ordii",5.5,61.6407656790535,84.8438649605299,34.6741327595854,11.8411654068248,111.11480209474,0.552409320592444
"41","Elephantulus_rupestris",5.5,51.3083709768073,77.4314501138703,44.6826609558892,10.7939356471114,112.263110494248,0.599926582162963
"42","Elephas_maximus",4.9,150.626506796472,116.398159264535,29.82695690945,16.5480393418692,304.753390028734,0.976481510928771
"43","Equus__caballus",5.5,55.7887575441106,67.983085050397,53.6062288861458,14.1772638845335,174.494003580226,0.907595817304811
"44","Equus_burchellii",5.5,102.406752340106,112.644830941054,86.3710465654071,27.6788802751826,295.744154419506,0.904759046805234
